tweet_id,tag
0,#dzienksiegarki
0,#dzienksiegarza
0,#antykwariat
0,#torun
0,#biblioteka
0,#ksiegarnia
0,#czytanie
0,#ksiazki
0,#torunskiantykwariatksiegarski
0,#bookstore
0,#bookseller
0,#ksiazkizantykwariatu
0,#pracazksiazkami
0,#torunskiantykwariat
0,#booktwitter
1,#monikaliga_pisarz
1,#monikaliga
1,#fyp
1,#romans
1,#ksiazki
1,#ksiazkiromantyczne
1,#ksiazkiromantyczne
1,#milosc
1,#czytamromanse
1,#spicybookrecs
1,#spicy
1,#niegrzecznenowele
1,#bookpl
2,#ksiazki
2,#prezent
2,#dziadek
2,#babcia
2,#swieta
2,#seniorzy
2,#gwiazdka
3,#ksiazki
4,#jkm
4,#ksiazki
4,#konfederacja
4,#nowanadzieja
4,#korwin
5,#prezentownik
5,#ksiazki
5,#gwiazdka
5,#swieta
5,#prezent
5,#kuchnia
5,#gotowanie
6,#ksiazki
6,#biblioteka
6,#czytam
6,#literatura
7,#czytac
7,#ksiazki
7,#biznesowe
8,#informacje
8,#polska
8,#ciekawostki
8,#ksiazki
8,#ksiegarnie
9,#twitteroweksiazkary
9,#ksiazki
10,#twitteroweksiazkary
10,#ksiazki
11,#twitteroweksiazkary
11,#dladzieci
11,#ksiazki
12,#cytat
12,#literatura
12,#kultura
12,#poezja
12,#ksiazki
12,#bornthisday
12,#heinrichheine
13,#dzienksiegarza
13,#ksiegarnia
13,#books
13,#bookpile
13,#bookaholic
13,#bookish
13,#ksiazki
13,#fantastyka
13,#dukaj
13,#orbitowski
13,#kosik
13,#radekrak
13,#czytanie
13,#ksiazkoholizm
14,#kujawskopomorskie
14,#kolej
14,#gniewkowo
14,#turzno
14,#ksiazki
14,#poznan
14,#funduszeue
15,#biblioinfo
15,#pawelak
15,#milejewo
15,#polska
15,#informacje
15,#wiadomosci
15,#ksiazki
15,#kultura
15,#biblioteka
15,#bibliotekamilejewo
16,#ksiazki
17,#zachodniopomorskie
17,#internet
17,#ksiazki
17,#dzienksiegarza
17,#zakupy
17,#statystyki
18,#biblioteka
18,#library
18,#librarylife
18,#librarytwitter
18,#bookforum
18,#book
18,#piractwo
18,#ksiazki
18,#ksiazka
18,#fyp
19,#biblioteka
19,#library
19,#librarylife
19,#librarytwitter
19,#bookforum
19,#book
19,#marketing
19,#promocja
19,#ksiazka
19,#fyp
19,#student
19,#ksiazki
20,#biblioteka
20,#library
20,#librarylife
20,#librarytwitter
20,#bookforum
20,#book
20,#depozytbiblioteczny
20,#ksiazka
20,#fyp
20,#student
20,#ksiazki
21,#readlist2022pl
21,#ksiazki
22,#twitteroweksiazkary
22,#wattpad
22,#books
22,#ksiazki
22,#hollyblack
23,#wattpad
23,#twitteroweksiazkary
23,#ksiazki
24,#ksiazki
24,#twitteroweksiazkary
24,#punk57
25,#digitalart
25,#humanartists
25,#humanartist
25,#twitteroweksiazkary
25,#wiezamagow
25,#ksiazki
25,#ilustration
25,#bookart
26,#twitteroweksiazkary
26,#ksiazki
26,#ksiazkary
27,#bookstagrampl
27,#bookstagrampolska
27,#ksiazka
27,#ksiazki
27,#ksiazka
27,#ksiazki
27,#blogger
27,#blog
27,#pisanie
27,#autor
27,#pisarz
27,#thriller
27,#czytam
27,#czytambolubie
27,#czytampolskichautorow
27,#czytanieuzaleznia
28,#ksiazki
29,#ksiazki
30,#krewiflakiwszkolesredniej
30,#premiera
30,#ksiazki
30,#kathyacker
31,#ksiazki
32,#ksiazki
33,#twitteroweksiazkary
33,#ksiazki
33,#psychologia
34,#konkurs
34,#kalendarz
34,#adwent
34,#codziennie
34,#pytania
34,#motyw
34,#ksiazki
34,#literatura
34,#losowanie
34,#biblioteka
34,#lublinsppallotti
34,#nagroda
35,#ksiazki
36,#cytat
36,#literatura
36,#kultura
36,#ksiazki
36,#sztuka
36,#josephheller
37,#pbwkatowice
37,#bozenarodzenie
37,#swieta
37,#ksiazki
38,#readlist2022pl
38,#ksiazki
39,#literatura
39,#ksiazki
39,#swieta
39,#czytanie
39,#radosc
40,#mikolaj
40,#biblioteka
40,#czytanie
40,#ksiazki
40,#radosc
41,#ksiazki
41,#polityka
41,#placzek
42,#torunskieksiazki
42,#torunskiantykwariatksiegarski
42,#ksiazki
42,#plyty
42,#lokalnyautor
42,#tekstypiosenek
42,#ksiegarniakameralna
42,#antykwariatksiegarski
42,#torunskiantykwariat
42,#ksiazkazautografem
42,#ksiazkikupujelokalnie
42,#booktwt
43,#ksiazki
43,#dladzieci
43,#literatura
43,#bajki
43,#opowiesc
43,#wkretosrubek
43,#prezent
43,#swieta
43,#podchoinke
44,#ksiazki
44,#fantastyka
44,#sqnimaginatio
45,#konkursy
45,#ksiazki
45,#ksiazka
45,#historia
46,#bookstagram
46,#bookstagrampl
46,#kochamczytac
46,#terazczytam
46,#ksiazki
46,#bookish
46,#bookadict
46,#ebooki
46,#kryminal
46,#thrillers
46,#polskaczyta
46,#polecamy
46,#recenzja
47,#twitteroweksiazkary
47,#ksiazki
47,#polonistyka
47,#booktwitter
48,#twitteroweksiazkary
48,#ksiazki
48,#books
48,#bookworm
48,#swieta
48,#prezenty
49,#books
49,#twitteroweksiazkary
49,#ksiazki
50,#readlist2022pl
50,#twitteroweksiazkary
50,#ksiazkazbiblioteki
50,#ksiazki
51,#tweetme
51,#ksiazkary
51,#ksiazki
51,#twitteroweksiazkary
51,#books
51,#mustread
52,#wydawnictwo
52,#nauka
52,#publikacjenaukowe
52,#ksiazkinaukowe
52,#publikowanie
52,#uniwersytet
52,#wiedza
