tweet_id,tag
0,#Macierewicz
0,#Kaczyński
0,#PIS
1,#Kaczyński
1,#pis
1,#SolidarnaPolska
2,#dworczyk
2,#polska
2,#Pis
2,#kaczynski
2,#morawiecki
2,#szczepienia
2,#niemiec
2,#czesio
2,#jebacpis
3,#Kaczyński
3,#PiS
4,#Kaczyński
4,#Katar2022
4,#KaczyńskiIJegoPajęczyna
5,#niemiec
5,#pis
5,#ukraina
5,#kaczynski
5,#jebac
6,#Katar2022
6,#Kaczyński
7,#Kaczynski
7,#TikTok
8,#Kaczyński
8,#wieszwięcej
9,#Kaczyński
10,#Piński
10,#JanPiński
10,#Szwejgiert
10,#TomaszSzwejgiert
10,#Kaczyński
10,#JarosławKaczyński
10,#PiS
10,#TVP
10,#TVPinfo
10,#Brejza
10,#KrzysztofBrejza
10,#Pegasus
11,#NowaNadzieja
11,#kaczynski
11,#kongresprogramowypo
11,#ZderzenieKulturowe
11,#polskapanstwemnarodowym
11,#dobryrzadnatrudneczasy
11,#lexczarnek
11,#lewicawtrasie
11,#polskawsercu
11,#takdlainvitro
11,#polska
11,#konfederacja
11,#drozyznapis
12,#Kaczyński
12,#Morawiecki
13,#Sikorski
13,#Kaczyński
14,#Kaczyński
15,#Kaczynski
15,#PiS
16,#Kaczyński
16,#wieszwięcej
17,#wtylewizji
17,#polska
17,#kaczynski
17,#komisja
17,#energetyki
17,#wegiel
17,#prad
17,#tusk
17,#poland
18,#Kaczyński
19,#kaczyński
20,#PiS
20,#Kaczyński
20,#DwieWieze
21,#kaczyński
22,#prokurator
22,#EwaWrzosek
22,#SolidarnaPolska
22,#PiS
22,#Kaczyński
22,#Ziobro
23,#Kaczyński
24,#prokurator
24,#EwaWrzosek
24,#SolidarnaPolska
24,#PiS
24,#Kaczyński
24,#Ziobro
25,#kaczynski
26,#PiS
26,#Kaczyński
27,#hiacynt
27,#kaczynski
27,#pedofil
27,#brudzinski
28,#Kaczyński
29,#Kaczyński
29,#UE
30,#Kaczyński
31,#kaczyński
32,#Kaczyński
33,#Kaczyński
34,#KatoKomuna
34,#PRL
34,#IPPTV
34,#wkurzeninakościół
34,#WielkaProstytutka
34,#KatoPatoKomuna
34,#Kaczyński
34,#Morawiecki
34,#Ziobro
34,#Kościół
35,#ESBEK
35,#Kujda
35,#TWryszard
35,#Jaruzelski
35,#Skrzypek
35,#kaczyński
35,#PISkomuna
35,#RozliczymyWas
36,#Kaczyński
37,#kaczynski
38,#wieszwiecej
38,#Jedziemy
38,#kaczynski
38,#PiS
38,#wyrok
39,#TVN
39,#Kaczyński
40,#PałacSaski
40,#Orwell
40,#Napoleon
40,#Prezes
40,#PiS
40,#Kaczyński
41,#PałacSaski
41,#Orwell
41,#Napoleon
41,#Prezes
41,#PiS
41,#Kaczyński
42,#kaczyński
43,#JanPiński
43,#TomaszSzwejgiert
43,#Ziobro
43,#ZbigniewZiobro
43,#Kaczyński
43,#JarosławKaczyński
43,#MariuszKamiński
43,#DorotaKania
43,#Dochnal
43,#MarekDochnal
43,#Żurek
43,#WaldemarŻurek
43,#Tuleya
43,#IgorTuleya
43,#SędziaTuleya
44,#prokurator
44,#EwaWrzosek
44,#SolidarnaPolska
44,#PiS
44,#Kaczyński
44,#Ziobro
45,#prokurator
45,#EwaWrzosek
45,#SolidarnaPolska
45,#PiS
45,#Kaczyński
45,#Ziobro
46,#Kaczyński
47,#Kaczyński
48,#Musk
48,#PO
48,#PiS
48,#tusk
48,#kaczyński
49,#Sejm
49,#Senat
49,#Kaczynski
50,#tylkoPiS
50,#dojnazmiana
50,#wystarczyniekraść
50,#Morawiecki
50,#Kaczyński
50,#Kurski
50,#pogarda
50,#pycha
50,#arogancja
51,#tvp
51,#media
51,#Poland
51,#kaczynski
51,#Tusk
51,#Duda
51,#PiS
51,#po
51,#ko
51,#NowaNadzieja
51,#psl
52,#KE
52,#Zero
52,#Kaczyński
53,#Kaczyński
54,#Kaczyński
55,#PoranekTOKFM
55,#Kaczyński
55,#Błaszczak
56,#Kaczyński
57,#kaczyński
58,#Kaczyński
58,#PiS
58,#PropagandaPiS
58,#sej
58,#UstawaAbolicyjna
58,#WyboryKopertowe
59,#kaczynski
59,#Pis
59,#Polska
59,#wtylewizji
59,#poland
60,#kaczyński
61,#kaczyński
62,#Kaczyński
63,#Kaczyński
64,#kaczynski
64,#POLARG
65,#weightloss
65,#keto
65,#ketodiet
65,#fitness
65,#fitnessgirl
65,#zdrowie
65,#zdrowy
65,#kawaii
65,#BitcoinButton
65,#Poland
65,#ad
65,#European
65,#inflacja
65,#kaczynski
65,#Szczesny
65,#POLARG
65,#Cryptos
65,#Lewandowski
65,#pizgaczhell
66,#Kaczyński
67,#Kaczyński
68,#kaczyński
69,#Kaczyński
70,#POLARG
70,#polskaargentyna
70,#Polska
70,#Kaczyński
71,#Kaczyński
72,#Kaczyński
73,#KatoKomuna
73,#WorldcupQatar2022
73,#PiS
73,#TVPiS
73,#TVP
73,#Kaczyński
74,#Kaczyński
74,#LegaArtis
74,#legaartis
74,#polska
74,#PosełGrzegorzBraun
74,#PropagandaPiS
74,#WojnaPis
75,#Dintojra
75,#Kaczyński
75,#JarosławKaczyński
75,#Tusk
75,#DonaldTusk
75,#Piński
75,#JanPiński
75,#Szwejgiert
75,#TomaszSzwejgiert
75,#Putin
75,#WładimirPutin
75,#Pegasus
75,#Obajtek
75,#DanielObajtek
75,#Sasin
75,#JacekSasin
75,#Czarnecki
75,#RyszardCzarnecki
76,#Kaczyński
77,#PiS
77,#dojnazmiana
77,#Kaczyński
77,#TVP
77,#wystarczyniekraść
78,#Kaczyński
79,#Ziobro
79,#PiS
79,#KPO
79,#unijnefundusze
79,#UE
79,#Kaczyński
79,#Morawiecki
80,#kaczyński
80,#wieszwiecej
81,#Edukacja
81,#kwalifikacje
81,#Kaczyński
81,#prawo
81,#CBA
81,#inżynier
81,#programista
81,#technologia
81,#cyberbezpieczeństwo
82,#Kaczyński
83,#PiS
83,#PiS
83,#dojnazmiana
83,#Ziobro
83,#Kaczyński
83,#Morawiecki
84,#Kaczyński
84,#PSL
84,#Zgorzelski
85,#Obajtek
85,#DanielObajtek
85,#Kaczyński
85,#JarosławKaczyński
85,#Piński
85,#JanPiński
85,#Szwejgiert
85,#TomaszSzwejgiert
85,#RODO
85,#Tymiński
85,#StanTymiński
85,#Biedroń
85,#RobertBiedroń
85,#Wałęsa
85,#LechWałęsa
86,#Kaczyński
87,#Fakty
87,#politycy
87,#PO
87,#kwalifikacje
87,#Kaczyński
87,#prawo
87,#PiS
87,#wieszwięcej
87,#wtylewizji
87,#włączfakty
87,#faktyzzagranicy
89,#kaczynski
90,#Kaczyński
91,#dajęwszyję
91,#kaczynski
92,#Kaczyński
93,#nowywal
93,#pis
93,#duda
93,#morawiecki
93,#kaczynski
93,#tk
93,#nowylad
93,#sejm
93,#Senat
93,#posat
93,#tvn
94,#Kaczyński
94,#SygnałyDnia
95,#kaczyński
95,#wieszwiecej
96,#Pis
96,#Sasin
96,#Kaczyński
96,#Tusk
97,#Kaczyński
98,#PiS
98,#kaczynski
99,#kaczynski
100,#Kaczynski
101,#Kaczyński
102,#Patriots
102,#Kaczyński
103,#PiS
103,#Kaczyński
103,#Prezydenta
103,#Tuleya
103,#Prokuratura
103,#Putin
104,#kaczynski
105,#Kaczyński
105,#LGBT
105,#wieszwiecej
106,#kaczyński
107,#kaczyński
108,#Kaczyński
109,#Kaczyński
110,#Kaczyński
111,#Assange
111,#Kaczynski
111,#FlorenceSupermax
112,#Alleluja🤘
112,#kaczyński
113,#Kaczyński
113,#JarosławKaczyński
113,#Jaryca
113,#PiS
113,#Michalik
113,#ElizaMichalik
114,#kaczyński
115,#Ziobro
115,#Tusk
115,#Wybory2023
115,#Ziobro
115,#kaczynski
116,#Ukraina
116,#UkraineRussianWar
116,#Ukraine
116,#wojna
116,#Russian
116,#Russia
116,#NewProfilePicture
116,#NewProfilePic
116,#PiS
116,#kaczynski
116,#ziobro
117,#Piński
117,#JanPiński
117,#Kaczyński
117,#JarosławKaczyński
117,#Jaryca
117,#PiS
118,#cbos
118,#szydlo
118,#polska
118,#pis
118,#covid
118,#kadrypis
118,#zlodzieje
118,#wtylewizji
118,#pis
118,#morawiecki
118,#kaczynski
119,#kaczynski
119,#Duda
120,#Kaczyński
121,#terlecki
121,#lewica
121,#pis
121,#polka
121,#wtylewizji
121,#koalicja
121,#covid
121,#bosak
121,#izrael
121,#kaczynski
121,#POLARG
122,#Kaczyński
123,#Piński
123,#JanPiński
123,#Szwejgiert
123,#TomaszSzwejgiert
123,#Pegasus
123,#Kaczyński
123,#JarosławKaczyński
123,#Milicja
123,#Wąsik
123,#MaciejWąsik
123,#Giertych
123,#RomanGiertych
123,#Kamiński
123,#MariuszKamiński
124,#kaczynski
125,#kaczynski
126,#kaczynski
127,#Kaczyński
128,#Piński
128,#JanPiński
128,#Szwejgiert
128,#TomaszSzwejgiert
128,#Kaczyński
128,#JarosławKaczyński
128,#Błaszczak
128,#MariuszBłaszczak
128,#PiS
128,#wariat
128,#Morawiecki
128,#MateuszMorawiecki
128,#Ziobro
128,#ZbigniewZiobro
128,#Ziemkiewicz
128,#RafałZiemkiewicz
128,#RAZ
129,#Kaczyński
130,#Kaczyński
131,#PiS
131,#Kaczyński
131,#wieszwięcej
132,#Kaczyński
133,#Kaczyński
134,#Kaczyński
135,#Polexit
135,#PiS
135,#tusk
135,#kaczyński
136,#PiS
137,#kaczynski
137,#pis
