tweet_id,tag
0,#breakingnews
0,#papabrain
0,#first
0,#music
0,#culture
0,#politics
1,#Shi Jie Bei 
1,#nba
2,#triplive
3,#Shi Jie Bei 
3,#bobTi Yu 
4,#Shi Jie Bei 
4,#Kai Ye Ti Yu 
5,#Fu Li Ji 
5,#Hei Si 
5,#Fan Chai 
5,#Shang Men 
5,#Mu Gou 
5,#Shi Pin Ai Ai 
6,#nowplaying
6,#np
7,#croatia
7,#srbija
7,#kosovo
7,#politics
7,#westbalkan
8,#triplive
9,#stoptheshots
10,#triplive
11,#Bei Jing 
11,#Yan Zhou 
11,#Shi Jie Bei 
11,#Qia Ta Er Shi Jie Bei 
12,#flapol
13,#Shi Jie Bei 
13,#Kai Yun Ti Yu 
13,#Ou Bao Ti Yu 
13,#Huo Hu Ti Yu 
14,#education
14,#politics
15,#Zhang Hao Zhao Hui 
15,#Zhao Hui 
16,#news
16,#canada
16,#saskatoon
16,#regina
16,#calgary
16,#sask
16,#saskatchewan
16,#sk
16,#cdnpoli
16,#cdnpolitics
16,#aircanada
16,#airplanes
16,#politics
16,#government
16,#saskpoli
16,#skpoli
17,#mindcontrol
18,#metl
18,#fsin
18,#fnpoli
19,#justintrudeau
20,#Shi Jie Bei 
20,#Shi Jie Bei A Gen Yan 
21,#lula
21,#brazil
22,#politics
22,#politic
23,#shopping
23,#politics
23,#history
23,#transport
23,#southampton
24,#nowplaying
24,#np
24,#chroniclaw
25,#dreamer
26,#flyeaglesfly
27,#Shi Jie Bei 
27,#Gun Qiu 
28,#news
28,#politics
28,#whyisnewsdifferent
29,#farzadtahazadeh
29,#farhadtahazadeh
30,#politics
31,#Shi Jie Bei 
31,#Shi Jie Bei Mai Qiu 
32,#startmeup
32,#podcast
33,#rekodiq
34,#Du Qiu 
34,#Xi Jin Ping Jiang Ze Min 
34,#Sai Er Wei Ya 
35,#karilake
36,#politics
36,#brazil
36,#economy
36,#brazilianpolitics
37,#justplainpolitics
38,#argentinie
38,#wereldkampioen
39,#farzadtahazadeh
39,#farhadtahazadeh
40,#civics
40,#albuquerque
40,#saltlakecity
40,#houston
40,#stpaul
40,#chicago
40,#atlanta
40,#jacksonville
41,#politics
41,#political
42,#Shi Jie Bei 
42,#Gun Qiu 
43,#nfts
43,#nft
43,#eth
43,#machinelearning
43,#technology
43,#datascience
43,#deeplearning
43,#programming
43,#tech
43,#robotics
43,#ai
43,#aiart
43,#horror
43,#scary
43,#politics
44,#update
44,#crypto
44,#politics
44,#ftx
45,#washingtonstate
45,#racist
45,#healthforall
46,#justplainpolitics
47,#An Tian Ci mero
47,#aberosu
48,#Shi Jie Bei 
48,#Ya Bo Ti Yu 
49,#Shi Jie Bei 
49,#Mei Xi 
50,#news
50,#politics
51,#trump
52,#nowplaying
52,#np
53,#kejriwalexposed
54,#bringiton
54,#politics
54,#january6th
54,#insurrectionist
55,#trump
55,#maga
56,#maddow
