tweet_id,tag
0,#leftist
0,#colleges
0,#brainwashing
0,#savingamerica
0,#podcast
0,#politics
0,#education
0,#psychology
0,#liberalismisamentaldisorder
1,#news
1,#election
1,#biden
1,#politics
1,#satire
2,#youtube
2,#news
2,#politics
3,#politics
3,#epa
3,#economy
3,#kprc2
3,#click2houston
3,#fuel
4,#blm
4,#desantis
4,#politics
4,#vote
5,#mediaaz
5,#news
5,#azerbaijan
5,#politics
5,#action
6,#politics
6,#breakingnews
6,#news
6,#news
6,#newsbreak
6,#entertainment
6,#trending
6,#breaking
6,#worldnews
6,#review
6,#fyps
7,#decemberthirteen
7,#getenvolved
7,#politics
7,#arts
8,#politics
8,#mexico
9,#politics
9,#electionintegrity
10,#bringiton
10,#politics
10,#january6th
10,#insurrectionist
10,#politicalphotograph
10,#trumpexcuses
10,#trumplogic
10,#blamegame
11,#politics
11,#mexico
12,#leftwing
12,#lel
12,#lgbtq
12,#liberal
12,#libertarian
12,#liberty
12,#love
12,#maga
12,#marxism
12,#media
12,#news
12,#political
12,#politicalart
12,#politicalcartoon
12,#politicalcompass
12,#politicalhumor
12,#politicalmemes
12,#politicians
12,#politics
12,#politigram
12,#republican
12,#republicans
12,#resist
13,#yesminister
13,#yesprimeminister
13,#politics
13,#westminister
14,#thrive
14,#freedom
14,#economics
14,#cathrineaustinfitts
14,#politics
14,#corruption
14,#evolution
15,#papol
15,#pasen
15,#paleg
15,#pennsylvania
15,#pa
15,#politics
16,#breakingnews
16,#papabrain
16,#first
16,#music
16,#culture
16,#politics
17,#croatia
17,#srbija
17,#kosovo
17,#politics
17,#westbalkan
18,#education
18,#politics
19,#news
19,#canada
19,#saskatoon
19,#regina
19,#calgary
19,#sask
19,#saskatchewan
19,#sk
19,#cdnpoli
19,#cdnpolitics
19,#aircanada
19,#airplanes
19,#politics
19,#government
19,#saskpoli
19,#skpoli
20,#politics
20,#politic
21,#shopping
21,#politics
21,#history
21,#transport
21,#southampton
22,#news
22,#politics
22,#whyisnewsdifferent
23,#politics
24,#politics
24,#brazil
24,#economy
24,#brazilianpolitics
25,#politics
25,#political
26,#nfts
26,#nft
26,#eth
26,#machinelearning
26,#technology
26,#datascience
26,#deeplearning
26,#programming
26,#tech
26,#robotics
26,#ai
26,#aiart
26,#horror
26,#scary
26,#politics
27,#update
27,#crypto
27,#politics
27,#ftx
28,#news
28,#politics
29,#bringiton
29,#politics
29,#january6th
29,#insurrectionist
30,#cannabis
30,#news
30,#politics
31,#peru
31,#politics
32,#trump
32,#politics
32,#war
32,#wars
32,#russia
32,#putin
32,#ukraine
32,#trump
32,#maga
32,#foxnews
32,#cnn
32,#nfl
32,#lgbt
32,#twitter
32,#elonmusk
32,#blm
33,#usa
33,#biden
33,#trump
33,#freedom
33,#energy
33,#policy
33,#politics
34,#politics
35,#january6committee
35,#publicmeeting
35,#monday
35,#trump
35,#jeffreyclark
35,#johneastman
35,#rudygiuliani
35,#markmeadows
35,#doj
35,#criminalreferrals
35,#politicaliq
35,#news
35,#politics
36,#nyctastemakers
36,#kamrynchappelle
36,#politics
36,#crimes
36,#fbi
37,#bnnus
37,#usa
37,#inflation
37,#politics
38,#trump
38,#corruption
38,#gop
38,#politics
39,#canadian
39,#politicalscience
39,#politics
39,#politicalcompass
39,#politica
39,#news
39,#politicaldebate
39,#political
39,#politicalmemes
39,#currentevents
40,#politics
41,#politics
42,#nazis
42,#kanye
42,#hitler
42,#racism
42,#history
42,#antisemitism
42,#fascism
42,#fascists
42,#germany
42,#wwii
42,#politics
43,#bidenadministration
43,#joebiden
43,#karinejeanpierre
43,#newhampshire
43,#politics
43,#reporter
43,#southcarolina
43,#usnews
43,#video
44,#politics
44,#politic
45,#economics
45,#politics
45,#anarchists
46,#usa
46,#migrants
46,#politics
47,#politics
47,#olive
47,#manifista
48,#politics
48,#history
48,#presidents
49,#politics
49,#economy
49,#society
49,#ukraine
49,#usa
50,#fabebooks
50,#newreleasesinebooks
50,#fabebooks
50,#fabbestsellers
50,#faboffers
50,#politics
50,#socialsciences
51,#snp
51,#economy
51,#taxes
51,#politics
51,#comment
51,#swinney
51,#indyref2
52,#politics
52,#jan6
53,#cybersecurity
53,#microsoft
53,#technology
53,#politics
54,#politics
55,#ireland
55,#atlanta
55,#georgia
55,#activism
55,#politics
55,#protest
56,#rishisunak
56,#power
56,#indians
56,#smritiirani
56,#women
56,#politics
56,#fun
57,#geopolitics
57,#podcast
57,#politics
57,#sports
57,#sportswashing
57,#qatar2022
57,#qatar
57,#football
57,#soccer
57,#worldcup
57,#footballworldcup2022
57,#fifa
57,#middleeast
57,#psg
57,#mancity
58,#corporate
58,#american
58,#politics
59,#washingtondc
59,#usa
59,#2024election
59,#markzuckerberg
59,#facebook
59,#twittertakeover
59,#elongoat
59,#donaldtrump
59,#trump
59,#joebiden
59,#politics
59,#covid19
59,#covidisnotover
59,#bordercrisis
59,#inflation
60,#bjp
60,#congress
60,#himachal_pradesh
60,#jai_ram_thakur
60,#sukhvinder_singh_sukhu
60,#twitter
60,#breaking_news
60,#featured
60,#politics
61,#politics
62,#goodnews
62,#scotland
62,#cop15
62,#nature
62,#wildlife
62,#biodiversityloss
62,#savetheplanet
62,#sustainability
62,#politics
